animal_type,age,sex,intake_condition,season,adopted
cat,2,Spayed,normal,Summer,No
cat,6,Female,under age/weight,Fall,No
cat,2,Spayed,Other,Spring,No
cat,10,Neutered,normal,Spring,Yes
dog,6,Neutered,Other,Summer,Yes
cat,8,Neutered,feral,Fall,No
dog,3,Neutered,normal,Summer,No
cat,3,Spayed,ill mild,Summer,Yes
dog,15,Female,normal,Spring,No
cat,7,Spayed,normal,Fall,No
dog,2,Male,normal,Fall,No
cat,0,Female,ill mild,Fall,No
cat,0,Male,under age/weight,Spring,No
dog,14,Female,injured  moderate,Fall,No
cat,0,Unknown,under age/weight,Spring,No
cat,0,Female,under age/weight,Spring,No
dog,6,Male,normal,Winter,No
dog,8,Male,normal,Winter,No
dog,10,Neutered,normal,Summer,No
cat,5,Male,under age/weight,Summer,No
cat,8,Female,ill mild,Winter,No
cat,3,Unknown,under age/weight,Summer,No
cat,6,Female,under age/weight,Fall,No
cat,8,Neutered,normal,Winter,Yes
cat,6,Male,under age/weight,Fall,No
cat,6,Female,under age/weight,Spring,No
cat,6,Female,under age/weight,Spring,No
cat,2,Unknown,under age/weight,Summer,No
cat,0,Spayed,normal,Fall,Yes
cat,2,Male,under age/weight,Fall,No
dog,3,Spayed,normal,Summer,Yes
other,7,Unknown,injured  mild,Spring,No
cat,7,Male,normal,Fall,No
cat,0,Female,under age/weight,Fall,No
cat,0,Female,under age/weight,Fall,No
cat,7,Unknown,under age/weight,Spring,No
cat,3,Female,ill mild,Winter,Yes
cat,7,Unknown,under age/weight,Spring,No
cat,6,Spayed,normal,Summer,No
dog,14,Male,normal,Spring,No
cat,3,Female,normal,Fall,Yes
dog,2,Female,normal,Fall,No
dog,11,Female,normal,Fall,No
dog,6,Spayed,normal,Spring,Yes
dog,17,Male,ill severe,Spring,No
dog,1,Neutered,normal,Summer,Yes
dog,7,Female,normal,Fall,No
cat,14,Male,ill severe,Fall,No
cat,5,Male,under age/weight,Summer,No
dog,9,Neutered,normal,Winter,Yes
cat,6,Spayed,fractious,Fall,No
bird,6,Unknown,injured  mild,Fall,No
dog,12,Neutered,ill severe,Fall,No
bird,9,Unknown,injured  severe,Winter,No
cat,5,Unknown,under age/weight,Summer,No
dog,6,Male,injured  severe,Summer,No
dog,15,Male,ill mild,Spring,No
cat,5,Unknown,under age/weight,Summer,No
dog,10,Spayed,injured  mild,Spring,No
cat,5,Unknown,under age/weight,Summer,No
dog,5,Female,normal,Spring,No
dog,6,Neutered,normal,Winter,No
cat,1,Unknown,under age/weight,Spring,No
cat,11,Spayed,injured  severe,Summer,No
cat,1,Female,under age/weight,Spring,No
dog,2,Neutered,normal,Spring,Yes
dog,5,Male,normal,Spring,No
dog,7,Male,normal,Fall,No
dog,6,Male,normal,Fall,No
cat,6,Neutered,injured  severe,Spring,No
cat,4,Female,under age/weight,Fall,No
wild,2,Unknown,under age/weight,Summer,No
dog,4,Spayed,normal,Summer,Yes
bird,7,Unknown,normal,Summer,No
cat,12,Male,ill severe,Fall,No
dog,8,Male,normal,Spring,No
bird,7,Unknown,normal,Fall,No
dog,8,Male,normal,Fall,No
cat,3,Female,ill mild,Fall,No
dog,3,Female,normal,Fall,No
cat,4,Female,normal,Fall,No
dog,1,Male,i/i report,Summer,No
cat,3,Female,ill mild,Fall,No
cat,3,Male,ill mild,Fall,No
cat,5,Neutered,injured  moderate,Spring,No
dog,4,Spayed,normal,Winter,No
cat,7,Male,injured  severe,Summer,No
wild,11,Male,injured  severe,Fall,No
cat,2,Neutered,ill moderatete,Summer,No
dog,8,Neutered,normal,Spring,Yes
cat,6,Female,under age/weight,Winter,No
cat,0,Male,under age/weight,Spring,No
dog,6,Spayed,normal,Fall,No
cat,5,Unknown,ill moderatete,Spring,No
dog,3,Male,ill moderatete,Spring,No
cat,4,Female,injured  moderate,Summer,No
cat,4,Unknown,under age/weight,Summer,No
dog,10,Male,normal,Fall,No
dog,6,Neutered,normal,Winter,Yes
cat,6,Spayed,fractious,Winter,No
cat,6,Spayed,fractious,Winter,No
cat,1,Male,ill mild,Spring,Yes
cat,3,Spayed,normal,Spring,No
cat,1,Spayed,under age/weight,Fall,Yes
dog,6,Female,normal,Summer,No
cat,4,Neutered,fractious,Spring,No
cat,6,Spayed,normal,Winter,No
dog,15,Spayed,normal,Fall,No
dog,2,Male,ill severe,Spring,No
dog,17,Spayed,injured  mild,Fall,No
cat,7,Male,under age/weight,Fall,No
cat,9,Female,injured  mild,Winter,No
dog,15,Male,normal,Winter,No
cat,1,Female,injured  severe,Fall,No
dog,12,Male,normal,Fall,No
dog,10,Spayed,normal,Summer,No
cat,8,Spayed,normal,Spring,No
dog,2,Spayed,normal,Fall,Yes
cat,1,Female,i/i report,Spring,No
cat,4,Female,i/i report,Summer,Yes
cat,6,Spayed,normal,Spring,No
cat,7,Male,under age/weight,Fall,No
cat,1,Spayed,ill mild,Winter,No
cat,7,Female,normal,Winter,Yes
dog,9,Male,normal,Summer,No
cat,5,Female,under age/weight,Summer,No
dog,13,Male,normal,Summer,No
dog,8,Female,normal,Summer,No
dog,17,Male,normal,Summer,No
cat,12,Male,ill mild,Summer,No
dog,4,Spayed,normal,Summer,Yes
cat,5,Spayed,normal,Fall,No
dog,4,Spayed,normal,Summer,Yes
other,7,Unknown,injured  severe,Spring,No
cat,11,Spayed,feral,Winter,Yes
cat,6,Female,ill moderatete,Fall,No
cat,3,Female,injured  moderate,Spring,No
cat,5,Unknown,injured  severe,Winter,No
cat,10,Spayed,normal,Winter,Yes
cat,2,Spayed,normal,Summer,No
cat,5,Neutered,under age/weight,Winter,Yes
cat,6,Female,under age/weight,Summer,No
cat,10,Spayed,normal,Winter,No
cat,7,Male,under age/weight,Fall,No
cat,7,Unknown,under age/weight,Fall,No
cat,4,Neutered,normal,Summer,Yes
cat,1,Spayed,ill mild,Winter,No
dog,6,Male,under age/weight,Spring,No
cat,8,Spayed,feral,Spring,No
dog,11,Female,normal,Spring,No
dog,6,Female,under age/weight,Spring,No
dog,12,Female,normal,Winter,No
cat,7,Neutered,under age/weight,Summer,Yes
cat,7,Female,under age/weight,Fall,No
cat,8,Female,normal,Spring,No
dog,2,Female,behavior  mild,Fall,No
rabbit,4,Spayed,normal,Fall,Yes
cat,8,Male,normal,Spring,No
cat,6,Female,under age/weight,Summer,No
dog,8,Neutered,normal,Fall,Yes
cat,0,Male,under age/weight,Spring,No
cat,0,Female,under age/weight,Spring,No
cat,6,Unknown,under age/weight,Summer,No
rabbit,3,Unknown,injured  mild,Fall,No
dog,2,Spayed,normal,Summer,Yes
cat,2,Neutered,under age/weight,Summer,Yes
cat,3,Spayed,normal,Fall,Yes
dog,10,Female,normal,Summer,No
rabbit,6,Spayed,normal,Summer,No
other,5,Unknown,injured  severe,Winter,No
cat,5,Female,under age/weight,Fall,No
cat,7,Male,under age/weight,Fall,No
cat,5,Male,under age/weight,Fall,No
cat,7,Neutered,under age/weight,Winter,Yes
cat,4,Male,under age/weight,Fall,No
dog,2,Neutered,normal,Spring,Yes
dog,7,Neutered,normal,Winter,No
cat,7,Female,normal,Spring,No
dog,5,Male,normal,Winter,No
cat,2,Male,ill mild,Summer,Yes
cat,3,Neutered,injured  moderate,Fall,Yes
cat,8,Unknown,normal,Spring,No
dog,7,Female,normal,Spring,No
dog,3,Spayed,normal,Summer,No
cat,1,Female,under age/weight,Spring,No
rabbit,11,Spayed,normal,Spring,No
cat,2,Female,under age/weight,Summer,Yes
cat,4,Male,under age/weight,Summer,No
cat,3,Neutered,under age/weight,Fall,No
cat,1,Unknown,normal,Summer,No
cat,3,Spayed,under age/weight,Fall,Yes
cat,1,Unknown,normal,Summer,No
dog,7,Neutered,normal,Fall,Yes
cat,10,Neutered,feral,Fall,No
cat,8,Unknown,feral,Winter,No
other,2,Unknown,normal,Spring,No
dog,7,Neutered,normal,Spring,No
dog,14,Neutered,Other,Winter,No
cat,5,Female,normal,Summer,Yes
dog,7,Spayed,normal,Spring,Yes
cat,5,Male,normal,Summer,No
cat,7,Male,under age/weight,Summer,No
dog,6,Male,behavior  severe,Spring,No
cat,6,Spayed,behavior  severe,Spring,No
cat,1,Spayed,normal,Fall,Yes
cat,1,Spayed,normal,Fall,Yes
dog,15,Neutered,normal,Summer,No
cat,1,Male,normal,Fall,No
cat,1,Unknown,injured  severe,Fall,No
cat,7,Female,under age/weight,Fall,No
dog,16,Spayed,normal,Spring,No
cat,3,Neutered,under age/weight,Fall,Yes
dog,23,Neutered,normal,Summer,No
cat,2,Female,under age/weight,Summer,No
cat,8,Neutered,normal,Winter,No
cat,5,Male,normal,Summer,No
dog,17,Neutered,injured  severe,Summer,No
dog,6,Female,normal,Summer,No
cat,7,Male,under age/weight,Fall,No
cat,4,Male,under age/weight,Summer,No
cat,6,Female,normal,Summer,No
cat,1,Neutered,normal,Summer,No
cat,1,Neutered,normal,Summer,No
dog,15,Neutered,normal,Spring,No
cat,4,Spayed,injured  moderate,Fall,No
cat,9,Neutered,normal,Winter,Yes
cat,0,Female,ill moderatete,Winter,No
wild,6,Male,injured  moderate,Summer,No
cat,1,Unknown,under age/weight,Summer,No
cat,5,Female,normal,Summer,No
cat,3,Female,normal,Spring,No
cat,7,Unknown,under age/weight,Spring,No
cat,7,Unknown,under age/weight,Summer,No
cat,3,Male,normal,Spring,No
cat,1,Unknown,under age/weight,Summer,No
cat,3,Female,normal,Spring,No
dog,11,Neutered,normal,Summer,No
cat,8,Neutered,normal,Fall,No
cat,7,Spayed,normal,Fall,No
cat,9,Female,normal,Winter,No
cat,8,Spayed,feral,Spring,No
cat,0,Spayed,normal,Winter,Yes
cat,11,Spayed,feral,Spring,No
cat,10,Male,ill mild,Winter,No
cat,7,Spayed,feral,Summer,No
cat,3,Male,under age/weight,Summer,No
cat,7,Spayed,feral,Fall,No
cat,16,Female,injured  mild,Spring,No
cat,5,Unknown,under age/weight,Summer,No
cat,9,Spayed,normal,Summer,No
dog,4,Neutered,normal,Summer,No
cat,7,Neutered,fractious,Summer,No
dog,15,Neutered,normal,Fall,No
cat,7,Unknown,under age/weight,Summer,No
cat,6,Female,under age/weight,Fall,No
dog,2,Male,normal,Spring,No
cat,2,Female,under age/weight,Spring,No
dog,12,Male,normal,Summer,No
cat,7,Spayed,normal,Spring,No
dog,11,Spayed,behavior  moderate,Winter,No
dog,11,Spayed,behavior  moderate,Summer,No
dog,22,Male,normal,Winter,No
dog,13,Female,normal,Winter,No
cat,4,Female,under age/weight,Fall,No
cat,1,Male,under age/weight,Fall,No
cat,1,Neutered,under age/weight,Fall,No
dog,17,Neutered,normal,Summer,No
cat,9,Neutered,fractious,Fall,No
dog,9,Male,injured  moderate,Spring,No
dog,16,Male,normal,Spring,No
dog,3,Female,normal,Fall,No
bird,1,Female,normal,Winter,No
cat,3,Spayed,normal,Summer,Yes
dog,19,Male,ill mild,Summer,Yes
dog,14,Male,Other,Summer,No
cat,3,Spayed,ill mild,Winter,Yes
dog,4,Male,normal,Winter,No
dog,17,Female,normal,Winter,No
bird,6,Unknown,injured  moderate,Summer,No
cat,5,Unknown,under age/weight,Summer,No
cat,1,Male,ill mild,Fall,No
cat,9,Female,normal,Summer,No
cat,1,Female,ill mild,Fall,No
cat,1,Male,ill mild,Fall,No
dog,10,Male,normal,Fall,No
dog,6,Male,injured  moderate,Spring,No
dog,15,Male,behavior  moderate,Spring,No
cat,12,Unknown,ill moderatete,Summer,No
dog,16,Female,injured  severe,Spring,No
bird,2,Unknown,injured  severe,Summer,No
dog,10,Male,normal,Summer,No
dog,12,Female,injured  severe,Spring,Yes
cat,2,Female,injured  mild,Summer,No
cat,5,Male,injured  severe,Fall,No
wild,2,Unknown,under age/weight,Summer,No
wild,2,Unknown,under age/weight,Summer,No
cat,2,Female,ill severe,Fall,Yes
cat,4,Spayed,normal,Summer,No
dog,4,Male,normal,Winter,No
cat,4,Female,under age/weight,Fall,No
cat,2,Female,under age/weight,Spring,No
dog,9,Female,normal,Fall,Yes
cat,7,Female,ill severe,Fall,No
dog,2,Spayed,i/i report,Fall,Yes
cat,3,Spayed,ill moderatete,Winter,Yes
cat,9,Spayed,fractious,Fall,No
dog,17,Male,normal,Winter,No
cat,8,Neutered,fractious,Summer,No
cat,6,Male,under age/weight,Spring,No
cat,6,Neutered,fractious,Fall,No
dog,6,Male,normal,Summer,No
cat,0,Unknown,ill severe,Spring,No
dog,18,Spayed,normal,Fall,No
bird,8,Unknown,injured  moderate,Winter,No
cat,6,Unknown,under age/weight,Summer,No
cat,6,Unknown,under age/weight,Summer,No
rabbit,7,Neutered,injured  mild,Spring,Yes
dog,11,Male,normal,Fall,No
cat,6,Male,normal,Summer,No
cat,2,Male,i/i report,Spring,Yes
cat,7,Neutered,ill mild,Winter,Yes
dog,8,Male,normal,Summer,No
cat,2,Male,normal,Summer,No
cat,3,Male,normal,Winter,No
cat,5,Unknown,under age/weight,Summer,No
dog,4,Male,normal,Winter,No
dog,9,Spayed,normal,Summer,No
cat,2,Male,ill mild,Summer,No
dog,4,Female,normal,Spring,No
dog,3,Spayed,normal,Fall,Yes
dog,4,Neutered,normal,Spring,No
cat,5,Female,fractious,Fall,No
dog,9,Male,normal,Summer,No
dog,7,Male,normal,Summer,No
dog,4,Male,normal,Summer,No
dog,10,Male,normal,Winter,No
cat,4,Spayed,normal,Fall,Yes
cat,6,Female,normal,Summer,No
cat,0,Female,under age/weight,Spring,No
cat,0,Female,under age/weight,Spring,No
cat,0,Neutered,under age/weight,Spring,Yes
dog,3,Spayed,normal,Spring,Yes
wild,1,Female,under age/weight,Spring,No
cat,3,Spayed,normal,Spring,No
cat,6,Neutered,normal,Summer,No
dog,13,Neutered,normal,Fall,Yes
cat,12,Spayed,normal,Fall,Yes
cat,12,Spayed,normal,Summer,Yes
dog,1,Neutered,normal,Fall,Yes
cat,8,Male,normal,Winter,No
bird,3,Unknown,normal,Summer,No
dog,9,Female,normal,Summer,No
cat,9,Neutered,fractious,Summer,Yes
cat,9,Male,normal,Summer,No
cat,14,Female,ill severe,Spring,No
dog,7,Female,normal,Summer,No
cat,1,Male,under age/weight,Spring,No
dog,14,Female,normal,Summer,No
cat,7,Unknown,under age/weight,Spring,No
cat,7,Unknown,under age/weight,Spring,No
cat,7,Unknown,under age/weight,Spring,No
bird,2,Unknown,injured  severe,Spring,No
dog,8,Spayed,normal,Winter,Yes
dog,8,Female,normal,Fall,No
dog,14,Male,normal,Winter,Yes
cat,6,Neutered,normal,Winter,No
other,7,Unknown,under age/weight,Spring,No
cat,3,Male,injured  severe,Summer,No
dog,4,Male,normal,Summer,No
cat,7,Unknown,under age/weight,Spring,No
other,5,Unknown,injured  severe,Fall,No
cat,7,Unknown,under age/weight,Spring,No
cat,7,Spayed,normal,Winter,Yes
cat,9,Spayed,feral,Spring,No
cat,7,Unknown,under age/weight,Spring,No
dog,2,Male,i/i report,Fall,No
cat,5,Male,under age/weight,Fall,No
cat,5,Male,normal,Fall,No
dog,8,Female,normal,Summer,No
dog,16,Male,normal,Summer,No
wild,4,Unknown,injured  severe,Winter,No
cat,1,Male,ill mild,Fall,No
cat,7,Neutered,normal,Winter,Yes
cat,4,Female,normal,Winter,No
cat,1,Male,ill moderatete,Summer,No
cat,8,Unknown,ill moderatete,Fall,No
dog,7,Male,normal,Fall,No
cat,1,Male,ill moderatete,Summer,No
dog,15,Spayed,normal,Fall,Yes
cat,1,Male,ill moderatete,Summer,No
cat,1,Male,ill moderatete,Summer,No
cat,1,Male,under age/weight,Fall,No
cat,6,Unknown,under age/weight,Fall,No
cat,1,Neutered,under age/weight,Winter,Yes
dog,7,Female,normal,Fall,No
cat,14,Spayed,normal,Spring,No
other,5,Unknown,injured  severe,Spring,No
dog,11,Female,injured  mild,Winter,No
cat,5,Female,normal,Winter,No
cat,1,Male,injured  severe,Summer,No
cat,5,Male,normal,Winter,No
cat,10,Female,ill severe,Summer,No
other,1,Unknown,injured  severe,Fall,No
dog,12,Female,injured  mild,Fall,No
cat,6,Female,injured  severe,Fall,No
bird,8,Unknown,normal,Winter,No
cat,4,Spayed,ill mild,Fall,Yes
cat,6,Spayed,fractious,Summer,No
cat,6,Neutered,fractious,Summer,No
cat,5,Neutered,fractious,Winter,No
cat,10,Female,normal,Winter,No
cat,2,Male,under age/weight,Spring,No
cat,6,Female,under age/weight,Fall,No
cat,9,Male,injured  mild,Summer,No
dog,6,Neutered,normal,Fall,Yes
cat,2,Male,normal,Fall,No
cat,2,Male,normal,Fall,No
cat,11,Neutered,normal,Winter,No
cat,6,Female,under age/weight,Fall,No
cat,7,Spayed,normal,Summer,No
cat,2,Unknown,ill severe,Spring,No
other,2,Unknown,under age/weight,Summer,No
dog,8,Male,normal,Fall,No
other,2,Unknown,under age/weight,Summer,No
dog,4,Male,normal,Fall,No
cat,7,Unknown,under age/weight,Spring,No
dog,2,Male,under age/weight,Winter,No
cat,7,Unknown,under age/weight,Spring,No
cat,8,Neutered,normal,Summer,No
cat,7,Unknown,under age/weight,Spring,No
cat,6,Unknown,injured  severe,Summer,No
cat,2,Spayed,normal,Fall,Yes
cat,7,Unknown,under age/weight,Spring,No
dog,3,Female,normal,Winter,No
dog,8,Male,ill moderatete,Summer,No
cat,0,Female,ill moderatete,Fall,No
cat,3,Male,under age/weight,Summer,No
bird,9,Unknown,injured  mild,Winter,No
cat,3,Spayed,injured  moderate,Winter,No
cat,7,Spayed,fractious,Spring,No
cat,8,Unknown,injured  severe,Summer,No
cat,8,Spayed,fractious,Winter,No
dog,5,Spayed,ill severe,Summer,Yes
cat,1,Neutered,under age/weight,Fall,Yes
cat,1,Male,under age/weight,Fall,Yes
cat,4,Female,under age/weight,Summer,Yes
cat,4,Spayed,normal,Fall,Yes
cat,6,Spayed,normal,Summer,Yes
cat,9,Female,normal,Summer,Yes
dog,4,Neutered,normal,Winter,Yes
wild,5,Unknown,ill severe,Winter,No
cat,10,Neutered,feral,Fall,No
cat,9,Spayed,fractious,Summer,No
dog,15,Neutered,normal,Fall,No
cat,7,Neutered,normal,Fall,Yes
dog,10,Spayed,normal,Winter,No
dog,11,Female,ill severe,Fall,No
cat,7,Male,under age/weight,Spring,No
dog,12,Neutered,normal,Winter,No
dog,5,Neutered,normal,Spring,No
cat,7,Female,normal,Fall,No
dog,8,Male,normal,Spring,No
cat,7,Male,normal,Fall,No
cat,1,Spayed,normal,Spring,No
cat,7,Female,injured  moderate,Fall,Yes
cat,8,Spayed,normal,Summer,No
cat,2,Female,normal,Summer,No
cat,9,Spayed,ill moderatete,Winter,No
cat,2,Female,normal,Summer,No
cat,5,Spayed,normal,Spring,No
cat,5,Neutered,injured  mild,Summer,No
cat,4,Female,normal,Spring,No
other,7,Male,ill severe,Fall,No
cat,5,Female,under age/weight,Fall,No
wild,8,Unknown,ill severe,Spring,No
dog,7,Male,normal,Fall,No
cat,5,Unknown,under age/weight,Spring,No
cat,6,Female,normal,Summer,No
cat,5,Unknown,under age/weight,Spring,No
cat,4,Male,under age/weight,Summer,No
cat,5,Unknown,under age/weight,Spring,No
cat,4,Unknown,injured  severe,Winter,No
cat,6,Female,injured  severe,Fall,No
dog,4,Neutered,normal,Spring,Yes
dog,10,Spayed,Other,Winter,No
cat,2,Unknown,normal,Summer,No
dog,6,Spayed,normal,Spring,No
dog,1,Male,ill severe,Summer,No
dog,14,Female,normal,Winter,No
dog,1,Female,normal,Spring,No
cat,2,Unknown,normal,Summer,No
cat,13,Spayed,normal,Fall,Yes
dog,6,Male,injured  mild,Spring,No
cat,1,Male,injured  severe,Summer,No
dog,15,Spayed,normal,Winter,Yes
cat,2,Male,normal,Winter,No
rabbit,4,Neutered,normal,Fall,No
cat,0,Male,injured  severe,Summer,No
wild,7,Unknown,under age/weight,Summer,No
cat,2,Neutered,under age/weight,Summer,Yes
cat,6,Unknown,under age/weight,Summer,No
cat,2,Male,under age/weight,Spring,Yes
cat,2,Spayed,ill mild,Summer,Yes
cat,2,Spayed,under age/weight,Summer,Yes
cat,6,Female,injured  severe,Spring,No
cat,8,Spayed,ill mild,Spring,Yes
cat,1,Neutered,normal,Spring,Yes
cat,1,Spayed,normal,Spring,Yes
cat,4,Female,under age/weight,Spring,No
cat,4,Spayed,normal,Fall,No
cat,7,Spayed,normal,Summer,No
dog,21,Female,ill mild,Fall,No
cat,6,Female,under age/weight,Summer,No
cat,6,Unknown,normal,Summer,No
cat,0,Female,under age/weight,Summer,No
cat,7,Spayed,normal,Summer,No
cat,11,Spayed,feral,Fall,No
cat,5,Neutered,ill severe,Winter,Yes
cat,14,Female,ill moderatete,Spring,No
wild,6,Unknown,under age/weight,Spring,No
cat,7,Male,injured  severe,Fall,No
cat,3,Male,under age/weight,Fall,No
dog,9,Male,normal,Winter,No
cat,5,Spayed,under age/weight,Summer,Yes
dog,5,Spayed,normal,Spring,No
cat,6,Neutered,ill mild,Winter,Yes
dog,9,Spayed,normal,Fall,Yes
dog,5,Female,normal,Fall,No
cat,5,Neutered,normal,Fall,No
cat,6,Neutered,normal,Summer,No
rabbit,4,Neutered,normal,Winter,No
dog,3,Male,Other,Summer,No
dog,16,Male,injured  severe,Summer,No
cat,7,Male,normal,Spring,No
cat,5,Neutered,normal,Fall,No
cat,7,Male,normal,Spring,No
cat,8,Neutered,behavior  moderate,Summer,No
cat,7,Female,normal,Winter,No
cat,8,Unknown,fractious,Fall,No
cat,2,Male,ill moderatete,Summer,No
cat,4,Male,normal,Spring,No
cat,7,Unknown,under age/weight,Fall,No
cat,2,Neutered,ill moderatete,Summer,No
cat,7,Spayed,normal,Fall,No
cat,7,Unknown,under age/weight,Fall,No
cat,10,Spayed,normal,Summer,No
other,2,Unknown,injured  mild,Spring,No
dog,16,Male,normal,Winter,No
cat,3,Female,under age/weight,Summer,No
dog,2,Spayed,normal,Summer,Yes
cat,6,Male,under age/weight,Summer,No
cat,4,Female,normal,Summer,No
cat,4,Spayed,ill moderatete,Summer,No
cat,6,Male,under age/weight,Summer,No
dog,9,Male,normal,Winter,No
cat,8,Male,injured  severe,Summer,No
cat,5,Male,normal,Winter,No
cat,12,Neutered,feral,Spring,No
cat,7,Spayed,normal,Winter,No
dog,7,Female,normal,Winter,No
other,7,Unknown,injured  severe,Summer,No
dog,3,Neutered,normal,Spring,Yes
rabbit,4,Neutered,ill mild,Winter,No
cat,0,Male,under age/weight,Summer,No
cat,2,Female,ill severe,Winter,No
cat,0,Neutered,under age/weight,Fall,No
dog,4,Neutered,normal,Winter,No
cat,12,Neutered,normal,Fall,No
dog,7,Male,normal,Spring,No
cat,2,Female,under age/weight,Spring,No
cat,1,Spayed,normal,Spring,No
dog,6,Spayed,ill mild,Summer,Yes
cat,2,Neutered,injured  moderate,Spring,No
dog,2,Spayed,normal,Spring,Yes
cat,9,Female,normal,Winter,Yes
dog,6,Female,normal,Spring,No
cat,5,Male,under age/weight,Spring,No
dog,3,Male,normal,Winter,No
cat,5,Unknown,under age/weight,Spring,No
cat,0,Female,under age/weight,Spring,No
cat,7,Neutered,normal,Winter,No
cat,5,Unknown,under age/weight,Spring,No
cat,6,Male,normal,Summer,No
cat,5,Neutered,normal,Winter,No
cat,6,Female,normal,Summer,No
cat,8,Spayed,normal,Winter,Yes
cat,6,Male,normal,Summer,No
cat,7,Unknown,under age/weight,Spring,No
cat,4,Female,ill mild,Summer,No
cat,1,Female,under age/weight,Spring,No
cat,6,Female,ill moderatete,Summer,No
dog,2,Male,normal,Fall,No
cat,2,Female,injured  moderate,Spring,No
cat,5,Spayed,normal,Fall,Yes
cat,4,Female,injured  severe,Fall,No
cat,5,Male,under age/weight,Summer,No
dog,7,Male,normal,Spring,No
dog,7,Female,normal,Spring,No
cat,0,Spayed,under age/weight,Summer,Yes
dog,17,Neutered,normal,Summer,No
bird,10,Unknown,injured  severe,Summer,No
dog,1,Spayed,normal,Fall,No
cat,5,Neutered,normal,Fall,No
cat,5,Neutered,normal,Summer,No
cat,7,Female,under age/weight,Summer,No
cat,14,Neutered,normal,Spring,No
cat,7,Neutered,normal,Spring,Yes
cat,18,Neutered,normal,Fall,Yes
cat,7,Male,under age/weight,Summer,No
cat,17,Neutered,normal,Spring,Yes
cat,0,Female,under age/weight,Fall,No
cat,15,Neutered,normal,Spring,No
bird,3,Unknown,normal,Winter,No
wild,6,Unknown,ill severe,Spring,No
cat,18,Neutered,normal,Spring,Yes
cat,11,Female,ill severe,Fall,No
cat,1,Spayed,ill mild,Spring,Yes
cat,2,Female,ill severe,Fall,No
cat,3,Spayed,under age/weight,Spring,Yes
cat,1,Male,ill moderatete,Fall,No
dog,7,Female,fractious,Fall,No
cat,3,Unknown,ill severe,Fall,No
cat,5,Female,normal,Winter,No
dog,8,Male,normal,Fall,No
dog,3,Female,injured  moderate,Summer,No
cat,6,Spayed,normal,Fall,No
rabbit,1,Spayed,normal,Spring,No
cat,4,Male,under age/weight,Fall,No
cat,4,Female,under age/weight,Fall,No
dog,7,Male,behavior  moderate,Spring,No
dog,11,Neutered,normal,Winter,No
dog,6,Spayed,injured  severe,Winter,No
dog,2,Female,normal,Fall,No
wild,7,Unknown,under age/weight,Summer,No
cat,3,Male,ill mild,Summer,No
cat,6,Neutered,fractious,Summer,No
dog,4,Spayed,i/i report,Spring,No
cat,3,Female,ill mild,Fall,No
cat,5,Male,under age/weight,Summer,No
bird,5,Unknown,under age/weight,Summer,No
bird,0,Unknown,under age/weight,Summer,No
bird,0,Unknown,under age/weight,Summer,No
cat,6,Female,under age/weight,Winter,No
cat,7,Female,normal,Fall,No
cat,2,Unknown,under age/weight,Spring,No
dog,23,Neutered,ill mild,Summer,No
cat,2,Neutered,under age/weight,Spring,Yes
bird,6,Unknown,injured  mild,Summer,No
cat,5,Spayed,normal,Spring,No
bird,2,Unknown,injured  severe,Fall,No
cat,3,Neutered,ill moderatete,Summer,No
cat,11,Female,ill severe,Summer,No
cat,7,Spayed,normal,Summer,No
cat,0,Male,ill moderatete,Fall,No
cat,1,Neutered,under age/weight,Fall,Yes
dog,6,Neutered,normal,Summer,Yes
wild,4,Unknown,injured  severe,Winter,No
other,2,Unknown,ill severe,Winter,No
cat,8,Neutered,injured  mild,Fall,No
dog,5,Spayed,normal,Summer,Yes
cat,10,Female,ill mild,Summer,No
cat,6,Female,normal,Summer,No
cat,7,Female,normal,Summer,No
dog,4,Spayed,normal,Winter,Yes
bird,3,Unknown,under age/weight,Winter,No
cat,1,Female,injured  severe,Fall,No
cat,1,Female,ill mild,Fall,No
cat,7,Male,under age/weight,Summer,No
cat,1,Female,injured  severe,Summer,No
dog,10,Spayed,normal,Summer,No
cat,11,Female,normal,Summer,Yes
cat,17,Neutered,normal,Fall,Yes
cat,5,Female,i/i report,Summer,Yes
other,1,Female,injured  severe,Summer,No
cat,3,Female,i/i report,Summer,Yes
bird,10,Female,normal,Fall,No
bird,10,Female,normal,Fall,No
cat,8,Neutered,normal,Fall,No
dog,11,Female,ill severe,Winter,Yes
dog,1,Spayed,normal,Winter,Yes
dog,10,Female,normal,Summer,No
dog,17,Female,normal,Summer,No
cat,5,Spayed,under age/weight,Fall,Yes
bird,8,Unknown,injured  mild,Fall,No
dog,7,Neutered,normal,Summer,Yes
dog,3,Neutered,injured  mild,Winter,No
dog,16,Female,normal,Spring,No
cat,5,Female,normal,Fall,No
cat,5,Spayed,normal,Fall,No
cat,3,Spayed,injured  moderate,Fall,Yes
cat,5,Unknown,under age/weight,Fall,No
cat,7,Male,under age/weight,Spring,No
cat,5,Neutered,under age/weight,Spring,Yes
cat,8,Male,injured  moderate,Summer,No
other,10,Unknown,normal,Winter,No
cat,1,Unknown,normal,Spring,No
cat,15,Neutered,feral,Spring,No
cat,9,Female,normal,Spring,No
cat,8,Male,normal,Spring,No
cat,7,Unknown,under age/weight,Fall,No
cat,6,Spayed,normal,Spring,No
dog,7,Male,normal,Spring,No
